net,length_um
net1354,429.62µm
_09356_,428.8µm
net38,428.14µm
net1707,427.35µm
net742,427.12µm
net899,426.56µm
net1753,426.4µm
net568,426µm
net767,425.7µm
net207,424.93µm
_05358_,424.84µm
net1495,424.49µm
net1564,424.22µm
net125,423.97µm
net1562,423.61µm
net1461,423.51µm
net46,422.49µm
net1159,421.98µm
_05126_,421.94µm
_10002_,421.88µm
net1575,421.47µm
net146,420.91µm
net910,420.3µm
net94,420.24µm
_03473_,420.2µm
_05869_,419.87µm
net305,419.81µm
net35,419.59µm
net1581,419.59µm
_05733_,419.38µm
net540,419.33µm
net228,419.28µm
net1382,419.23µm
net1796,419.13µm
net1072,419.03µm
net250,418.82µm
net116,418.57µm
net243,418.57µm
net838,418.47µm
net1760,418.47µm
_11328_,418.01µm
net1423,417.55µm
_05099_,417.41µm
net644,416.94µm
net238,416.38µm
key\[17\],416.13µm
net1600,416.07µm
net812,415.67µm
net1641,415.67µm
net1704,415.59µm
_09890_,415.21µm
net573,415.21µm
net1434,414.6µm
net622,414.19µm
_11521_,413.83µm
net232,413.63µm
net1131,413.53µm
net841,413.12µm
net22,412.97µm
net270,412.41µm
net219,411.9µm
net195,411.8µm
net49,411.49µm
_09961_,411.19µm
_11179_,411.1µm
net740,410.78µm
net928,410.27µm
_05850_,410.15µm
clknet_6_33_0_clk,409.61µm
net111,408.69µm
_07060_,408.63µm
_05724_,408.44µm
net915,407.52µm
net1764,406.96µm
net1739,405.89µm
net897,405.74µm
net1439,405.28µm
net544,405.08µm
net51,404.77µm
net77,404.67µm
net792,404.67µm
net919,404.67µm
net130,404.57µm
net728,404.57µm
net63,404.16µm
net212,404.01µm
net1421,404.01µm
_03700_,403.86µm
_11134_,403.86µm
net578,403.5µm
_11770_,403.06µm
net1508,402.99µm
net959,402.53µm
_11186_,402.52µm
net1137,402.28µm
net604,402.07µm
net643,401.92µm
net1435,401.82µm
_12237_,401.64µm
net789,400.7µm
_10438_,400.05µm
net582,399.83µm
net1827,399.5µm
_12221_,399.4µm
net714,399.35µm
net1709,399.17µm
net349,399.02µm
net62,398.68µm
net441,398.56µm
_10072_,398.31µm
_10665_,397.9µm
_09497_,397.75µm
net3,397.75µm
_05434_,397.7µm
_10321_,397.51µm
net769,397.34µm
net877,396.95µm
clknet_6_48_0_clk,396.78µm
_05980_,396.12µm
net258,395.95µm
net619,395.71µm
_04991_,395.56µm
_10534_,395.47µm
net525,395.41µm
net913,395.2µm
net1291,395.15µm
net1394,395µm
_09968_,394.85µm
net918,394.69µm
net249,394.59µm
net651,394.56µm
_03787_,394.5µm
net79,394.08µm
net1357,393.93µm
_10685_,393.33µm
net1376,392.91µm
_10010_,392.28µm
net1287,392.2µm
_04010_,392.1µm
net985,391.89µm
net1348,391.74µm
_06508_,391.54µm
net781,391.33µm
net229,391.18µm
net302,391.08µm
net981,390.98µm
_10997_,390.62µm
net1027,390.42µm
_06627_,390µm
_06087_,389.97µm
_10525_,389.96µm
_06383_,389.91µm
net1058,389.4µm
net1351,389.35µm
_10267_,388.84µm
_11329_,388.84µm
_11260_,388.56µm
net987,388.38µm
net43,388.33µm
_10055_,388.17µm
net1806,387.82µm
_10335_,387.72µm
net1457,387.11µm
net1723,387.11µm
net795,386.55µm
net1380,386.24µm
_05999_,385.88µm
net1432,385.73µm
_11063_,385.49µm
net698,385.12µm
net86,385.07µm
_10627_,384.87µm
_11289_,384.75µm
net871,384.36µm
net743,383.8µm
net951,383.8µm
_06768_,383.75µm
_05812_,383.35µm
net955,383.34µm
net570,383.29µm
net662,383.14µm
net948,382.63µm
net1437,382.63µm
net1811,382.14µm
_05381_,381.97µm
net571,381.71µm
net700,381.71µm
net181,381.4µm
_06525_,380.66µm
net770,380.64µm
_11516_,380.26µm
key\[11\],379.88µm
net995,379.83µm
net1370,378.91µm
net585,378.86µm
_06407_,378.72µm
_09584_,378.71µm
_10237_,377.34µm
net235,377.28µm
net1445,377.28µm
_10481_,377.03µm
net648,377.03µm
_12240_,376.98µm
_04100_,376.93µm
net1539,375.4µm
_10030_,375.32µm
net980,375.04µm
net519,374.94µm
net1488,374.33µm
_06767_,374.28µm
net718,374.07µm
net137,373.82µm
net1561,373.82µm
net737,373.77µm
_03425_,373.62µm
net1373,373.44µm
net70,373.26µm
clknet_6_37_0_clk,372.8µm
net1828,372.67µm
net1019,372.09µm
net101,371.89µm
net610,371.81µm
clknet_6_39_0_clk,371.73µm
_05942_,371.72µm
net19,370.97µm
net274,370.82µm
net1135,370.41µm
_04458_,370.36µm
net1387,369.9µm
_10081_,369.77µm
net1497,369.75µm
net1358,369.68µm
_06478_,369.52µm
_11773_,369.34µm
net679,369.19µm
net688,368.88µm
net1613,368.17µm
clknet_6_36_0_clk,367.86µm
net1797,367.76µm
net1624,367.71µm
_10884_,367.59µm
_06822_,367.36µm
net637,366.59µm
_05743_,366.31µm
net210,365.98µm
net1356,365.98µm
net1516,365.37µm
_10624_,365.27µm
net690,364.86µm
net492,364.71µm
_03701_,364.66µm
_09973_,364.61µm
_04983_,364.6µm
net166,363.94µm
net1835,363.64µm
net1337,363.03µm
_11033_,362.7µm
net638,362.52µm
net796,362.16µm
net140,361.5µm
net119,361.4µm
_05394_,361.38µm
net44,361.23µm
net53,360.99µm
net1377,360.94µm
_11527_,360.62µm
net1634,359.77µm
_03828_,359.72µm
_04504_,359.16µm
net156,358.85µm
_10181_,358.6µm
_03744_,358.5µm
_05933_,358.28µm
net1621,357.68µm
_09343_,357.48µm
net1426,357.22µm
net1875,357.02µm
net652,356.46µm
net1473,356.15µm
_11525_,356.12µm
_10360_,354.73µm
_06361_,354.63µm
net1001,354.63µm
_06710_,354.17µm
net56,353.66µm
net535,353.61µm
net543,353.56µm
net545,353.25µm
_10831_,353µm
_06165_,352.89µm
net956,352.85µm
net1416,352.61µm
net1598,352.34µm
net524,352.03µm
net583,351.83µm
net1419,351.57µm
_05970_,350.79µm
_05284_,350.71µm
net1082,350.71µm
net546,350.43µm
clknet_6_58_0_clk,349.79µm
_04968_,349.69µm
net1570,349.69µm
net1757,349.64µm
key\[24\],349.63µm
net1384,349.59µm
_03384_,349.49µm
net1550,349.23µm
net982,349.08µm
net1023,349.05µm
_10327_,348.98µm
net844,348.89µm
net314,348.47µm
net1558,348.47µm
net1427,348.16µm
net1599,348.01µm
_04933_,347.74µm
net1395,347.45µm
_11374_,346.69µm
net1541,346.53µm
net1504,346.36µm
net703,346.28µm
net1355,346.28µm
_06733_,346.21µm
_03785_,346.18µm
net794,345.97µm
net234,345.77µm
net598,345.46µm
_10076_,345.41µm
net262,345.36µm
_06113_,345.03µm
net218,344.7µm
key\[4\],344.55µm
net254,344.5µm
net907,343.99µm
net1636,343.22µm
_10893_,342.98µm
net241,342.79µm
_05523_,341.95µm
net1396,341.85µm
net1637,341.57µm
_11215_,341.54µm
net237,340.88µm
net654,340.68µm
net1510,340.12µm
net265,339.3µm
