net,length_um
spi_ctrl.word_buf\[20\],436.29µm
clknet_6_10_0_clk,436.03µm
_06651_,435.83µm
net897,435.67µm
clknet_6_50_0_clk,435.32µm
_10707_,435.27µm
net922,434.35µm
net1311,434.15µm
net752,433.84µm
net1410,433.13µm
net1446,433.13µm
_06133_,433.08µm
_05914_,432.88µm
net1495,432.63µm
_06767_,432.53µm
net584,432.16µm
net148,432.06µm
net718,432.06µm
net585,431.6µm
net1534,431.6µm
net1015,431.5µm
net737,430.84µm
net842,430.69µm
net586,429.72µm
net622,429.26µm
net1371,429.21µm
net1556,429.21µm
net627,429.16µm
net875,429.16µm
net1576,429.06µm
net365,428.65µm
_05105_,428.55µm
_09906_,428.53µm
net708,428.09µm
_05756_,428.02µm
_04133_,427.98µm
_10867_,426.97µm
_08174_,426.49µm
net1178,426.41µm
spi_ctrl.word_buf\[23\],426.26µm
net1059,425.39µm
_03907_,425.04µm
_10445_,424.68µm
_10405_,424.12µm
_04132_,424.02µm
_04532_,423.71µm
_12118_,422.8µm
clknet_6_63_0_clk,422.69µm
_10014_,422.3µm
_08339_,421.32µm
net1819,420.86µm
net1524,420.76µm
net1537,420.45µm
_10645_,419.69µm
_05147_,419.54µm
_10734_,419.13µm
net698,419.13µm
_04312_,419.08µm
_09944_,418.98µm
_11933_,418.98µm
net744,418.72µm
net1563,418.57µm
_11598_,417.31µm
net1610,416.53µm
_10800_,414.65µm
net1594,414.45µm
_05694_,414.35µm
net139,413.12µm
net562,413.12µm
_03362_,413.1µm
clknet_6_62_0_clk,413.02µm
net1592,412.97µm
net228,411.8µm
clknet_6_14_0_clk,410.83µm
_05204_,410.63µm
net149,410.32µm
spi_ctrl.word_buf\[15\],410.17µm
_10635_,409.66µm
net1022,409.2µm
net701,409.1µm
net1321,409µm
clknet_6_4_0_clk,408.59µm
_03995_,408.39µm
_10204_,408.39µm
net597,407.88µm
net1032,407.73µm
_05486_,407.55µm
_09903_,407.49µm
net155,406.91µm
_03769_,406.64µm
_03591_,406.61µm
net1357,406.35µm
_10877_,406.25µm
_10291_,405.59µm
_11932_,405.58µm
net171,405.38µm
_04486_,405.13µm
net1313,405.08µm
